latitude_longitude right distance added,latitude_longitude left distance added
10.0079215 76.36680970434068,10.0079215 76.36635309565932
10.0082883 76.3667597045986,10.0082883 76.36630309540139
10.0086228 76.36682450483383,10.0086228 76.36636789516618
10.008946 76.36688200506111,10.008946 76.36642539493889
10.0092452 76.36690020527153,10.0092452 76.36644359472847
10.0095374 76.36671130547704,10.0095374 76.36625469452296
10.0098837 76.36646100572058,10.0098837 76.36600439427941
10.0102717 76.36630440599347,10.0102717 76.36584779400653
10.0106463 76.36617240625695,10.0106463 76.36571579374304
10.010913 76.36604150644455,10.010913 76.36558489355546
10.0111719 76.36592880662666,10.0111719 76.36547219337335
10.0114263 76.36582470680561,10.0114263 76.36536809319439
10.0117317 76.36565010702043,10.0117317 76.36519349297956
10.0120807 76.36547060726595,10.0120807 76.36501399273406
10.0123768 76.36530280747427,10.0123768 76.36484619252575
10.0127459 76.36509970773392,10.0127459 76.36464309226608
10.0131236 76.36486800799965,10.0131236 76.36441139200035
10.0134881 76.36467920825609,10.0134881 76.3642225917439
10.0138488 76.36457520850989,10.0138488 76.36411859149011
10.0142044 76.3644581087601,10.0142044 76.3640014912399
10.0145455 76.36435800900011,10.0145455 76.3639013909999
10.01495 76.36422890928475,10.01495 76.36377229071525
10.0151883 76.36407000945243,10.0151883 76.36361339054756
10.0152567 76.36386090950057,10.0152567 76.36340429049943
10.015166 76.36366310943674,10.015166 76.36320649056324
10.0150012 76.36337710932078,10.0150012 76.36292049067923
10.014862 76.36325640922281,10.014862 76.36279979077717
10.0148472 76.3629868092124,10.0148472 76.3625301907876
10.0150286 76.36280060934006,10.0150286 76.36234399065994
10.015326 76.36265670954934,10.015326 76.36220009045066
10.0155851 76.36249060973167,10.0155851 76.36203399026833
10.015843 76.36228850991317,10.015843 76.36183189008683
10.0160264 76.36206221004224,10.0160264 76.36160558995775
10.0160614 76.36180061006688,10.0160614 76.36134398993313
10.0161496 76.36153581012894,10.0161496 76.36107918987105
10.0162604 76.36120291020693,10.0162604 76.36074628979308
10.0163356 76.36087961025986,10.0163356 76.36042298974014
10.0163512 76.36060851027082,10.0163512 76.36015188972917
10.016293 76.36034961022987,10.016293 76.35989298977013
10.0162515 76.36009491020066,10.0162515 76.35963828979935
10.0162064 76.35982801016893,10.0162064 76.35937138983108
10.0161593 76.35956061013577,10.0161593 76.35910398986424
10.0161304 76.35934821011543,10.0161304 76.35889158988456
10.0161377 76.35915141012057,10.0161377 76.35869478987942
10.0161371 76.35913971012015,10.0161371 76.35868308987985
10.0161233 76.35898121011043,10.0161233 76.35852458988957
10.0160513 76.35872461005977,10.0160513 76.35826798994023
10.0160032 76.35853231002592,10.0160032 76.35807568997409
10.015962 76.35824910999692,10.015962 76.35779249000309
10.0159448 76.35803430998482,10.0159448 76.35757769001518
10.0158997 76.35778970995307,10.0158997 76.35733309004692
10.0158689 76.3576919099314,10.0158689 76.3572352900686
10.0158161 76.35750650989424,10.0158161 76.35704989010576
10.0157438 76.35720620984337,10.0157438 76.35674959015664
10.015706 76.35700390981677,10.015706 76.35654729018324
10.0156731 76.3569438097936,10.0156731 76.35648719020641
10.0156016 76.35676970974329,10.0156016 76.3563130902567
10.0155917 76.35673800973632,10.0155917 76.35628139026369
10.0155456 76.35657010970387,10.0155456 76.35611349029612
10.015527 76.35651100969078,10.015527 76.35605439030921
